task_id,date,rater,correct_answer_3,correct_answer_5,rater_answer_3,rater_answer_5,rater_correct_3,rater_correct_5
2477,2005-06-15 00:00:00,A,Average,Intermediate,Low,Great,False,False
2773,2005-06-17 00:00:00,D,Low,Okay,Low,Okay,True,True
8732,2005-06-23 00:00:00,D,Average,Great,Average,Bad,True,False
8447,2005-06-14 00:00:00,E,Low,Bad,Average,Great,False,False
3637,2005-06-21 00:00:00,C,Average,Bad,Low,Great,False,False
7838,2005-06-04 00:00:00,D,Low,Great,Low,Great,True,True
3567,2005-06-04 00:00:00,E,Average,Okay,Low,Great,False,False
6785,2005-06-13 00:00:00,B,Average,Great,Low,Great,False,True
1002,2005-06-24 00:00:00,C,Average,Intermediate,Low,Okay,False,False
1299,2005-06-17 00:00:00,B,Average,Intermediate,Low,Okay,False,False
5517,2005-06-16 00:00:00,C,Low,Okay,Low,Okay,True,True
3957,2005-06-29 00:00:00,A,Average,Intermediate,Low,Bad,False,False
1047,2005-06-02 00:00:00,A,Low,Okay,Average,Great,False,False
1619,2005-06-13 00:00:00,B,Low,Great,Low,Okay,True,False
153,2005-06-21 00:00:00,C,Average,Okay,Average,Okay,True,True
9328,2005-06-29 00:00:00,A,Average,Bad,Low,Intermediate,False,False
6134,2005-06-23 00:00:00,B,Average,Okay,Average,Bad,True,False
7891,2005-06-02 00:00:00,A,Average,Okay,Low,Intermediate,False,False
2967,2005-06-17 00:00:00,D,Low,Okay,Low,Okay,True,True
7911,2005-06-09 00:00:00,E,Average,Okay,Average,Great,True,False
3791,2005-06-12 00:00:00,D,Average,Great,Average,Bad,True,False
7381,2005-06-19 00:00:00,C,Average,Bad,Average,Intermediate,True,False
5190,2005-06-11 00:00:00,C,Low,Bad,Low,Bad,True,True
4576,2005-06-05 00:00:00,A,Low,Bad,Average,Okay,False,False
3055,2005-06-11 00:00:00,D,Average,Intermediate,Average,Intermediate,True,True
4458,2005-06-05 00:00:00,D,Low,Okay,Low,Intermediate,True,False
2418,2005-06-05 00:00:00,A,Average,Bad,Average,Great,True,False
2500,2005-06-20 00:00:00,D,Low,Okay,Low,Okay,True,True
2897,2005-06-02 00:00:00,E,Average,Intermediate,Average,Intermediate,True,True
5447,2005-06-04 00:00:00,D,Low,Intermediate,Low,Bad,True,False
4162,2005-06-03 00:00:00,B,Average,Okay,Low,Bad,False,False
9298,2005-06-06 00:00:00,E,Low,Intermediate,Low,Great,True,False
8979,2005-06-25 00:00:00,D,Low,Okay,Low,Okay,True,True
8886,2005-06-12 00:00:00,B,Average,Intermediate,Average,Bad,True,False
5313,2005-06-02 00:00:00,A,Average,Bad,Average,Intermediate,True,False
1122,2005-06-12 00:00:00,E,Low,Great,Average,Bad,False,False
615,2005-06-10 00:00:00,D,Average,Bad,Average,Okay,True,False
4593,2005-06-20 00:00:00,C,Average,Bad,Average,Bad,True,True
7982,2005-06-13 00:00:00,D,Average,Great,Low,Great,False,True
2994,2005-06-12 00:00:00,D,Average,Great,Low,Bad,False,False
7497,2005-06-07 00:00:00,B,Low,Bad,Average,Great,False,False
5227,2005-06-16 00:00:00,B,Low,Okay,Average,Bad,False,False
7908,2005-06-08 00:00:00,B,Low,Bad,Average,Okay,False,False
2546,2005-06-11 00:00:00,A,Low,Okay,Low,Intermediate,True,False
1551,2005-06-10 00:00:00,C,Average,Intermediate,Average,Bad,True,False
7429,2005-06-22 00:00:00,D,Average,Great,Average,Okay,True,False
1747,2005-06-29 00:00:00,A,Average,Intermediate,Average,Intermediate,True,True
2880,2005-06-27 00:00:00,C,Average,Okay,Low,Intermediate,False,False
7820,2005-06-24 00:00:00,B,Average,Intermediate,Low,Great,False,False
4416,2005-06-20 00:00:00,B,Low,Intermediate,Average,Bad,False,False
5068,2005-06-20 00:00:00,D,Low,Bad,Average,Great,False,False
8379,2005-06-26 00:00:00,B,Low,Great,Low,Great,True,True
3260,2005-06-23 00:00:00,B,Average,Great,Average,Intermediate,True,False
6692,2005-06-21 00:00:00,A,Low,Bad,Average,Bad,False,True
6496,2005-06-16 00:00:00,D,Low,Great,Low,Intermediate,True,False
2875,2005-06-02 00:00:00,B,Low,Great,Average,Bad,False,False
6301,2005-06-16 00:00:00,D,Low,Okay,Average,Okay,False,True
3723,2005-06-21 00:00:00,E,Low,Okay,Average,Great,False,False
6671,2005-06-28 00:00:00,C,Low,Bad,Low,Great,True,False
2619,2005-06-12 00:00:00,E,Average,Great,Low,Great,False,True
5798,2005-06-10 00:00:00,A,Low,Great,Average,Okay,False,False
1889,2005-06-28 00:00:00,D,Low,Great,Average,Great,False,True
9793,2005-06-27 00:00:00,E,Average,Bad,Low,Okay,False,False
8334,2005-06-02 00:00:00,B,Average,Bad,Average,Great,True,False
9679,2005-06-10 00:00:00,A,Low,Okay,Low,Okay,True,True
6817,2005-06-23 00:00:00,B,Low,Great,Average,Great,False,True
7458,2005-06-24 00:00:00,E,Low,Great,Average,Okay,False,False
8828,2005-06-11 00:00:00,B,Average,Bad,Low,Okay,False,False
3924,2005-06-14 00:00:00,B,Low,Intermediate,Low,Great,True,False
9608,2005-06-24 00:00:00,E,Average,Okay,Average,Bad,True,False
7233,2005-06-16 00:00:00,E,Average,Bad,Low,Bad,False,True
822,2005-06-06 00:00:00,E,Average,Okay,Low,Bad,False,False
456,2005-06-22 00:00:00,E,Low,Bad,Average,Okay,False,False
388,2005-06-25 00:00:00,E,Average,Bad,Average,Okay,True,False
1202,2005-06-08 00:00:00,B,Low,Bad,Average,Okay,False,False
2539,2005-06-19 00:00:00,E,Average,Bad,Low,Bad,False,True
2181,2005-06-20 00:00:00,C,Average,Bad,Average,Okay,True,False
9750,2005-06-08 00:00:00,A,Low,Bad,Average,Bad,False,True
5759,2005-06-02 00:00:00,C,Low,Intermediate,Low,Great,True,False
4806,2005-06-19 00:00:00,A,Low,Okay,Low,Bad,True,False
8455,2005-06-06 00:00:00,E,Average,Okay,Average,Intermediate,True,False
5867,2005-06-16 00:00:00,A,Low,Great,Average,Great,False,True
5031,2005-06-04 00:00:00,C,Low,Bad,Average,Bad,False,True
2378,2005-06-02 00:00:00,B,Low,Intermediate,Average,Great,False,False
3276,2005-06-12 00:00:00,B,Low,Bad,Average,Okay,False,False
8544,2005-06-22 00:00:00,B,Average,Great,Average,Intermediate,True,False
9521,2005-06-01 00:00:00,B,Average,Okay,Average,Bad,True,False
5006,2005-06-09 00:00:00,B,Low,Great,Average,Great,False,True
2691,2005-06-11 00:00:00,E,Average,Bad,Low,Bad,False,True
9860,2005-06-13 00:00:00,C,Low,Great,Average,Okay,False,False
571,2005-06-24 00:00:00,C,Low,Bad,Average,Okay,False,False
5821,2005-06-28 00:00:00,C,Low,Okay,Average,Bad,False,False
7279,2005-06-10 00:00:00,A,Average,Intermediate,Average,Great,True,False
7922,2005-06-26 00:00:00,C,Average,Bad,Low,Okay,False,False
7435,2005-06-01 00:00:00,A,Average,Intermediate,Low,Okay,False,False
4711,2005-06-13 00:00:00,C,Low,Intermediate,Low,Bad,True,False
2413,2005-06-18 00:00:00,D,Low,Intermediate,Low,Great,True,False
8600,2005-06-06 00:00:00,B,Average,Bad,Average,Intermediate,True,False
5055,2005-06-23 00:00:00,D,Low,Bad,Average,Okay,False,False
8251,2005-06-15 00:00:00,E,Average,Great,Low,Intermediate,False,False
2911,2005-06-07 00:00:00,D,Low,Bad,Average,Bad,False,True
7825,2005-06-06 00:00:00,E,Low,Bad,Average,Intermediate,False,False
1527,2005-06-28 00:00:00,A,Average,Okay,Low,Bad,False,False
3346,2005-06-21 00:00:00,A,Low,Intermediate,Low,Okay,True,False
4398,2005-06-01 00:00:00,A,Average,Okay,Low,Great,False,False
2468,2005-06-17 00:00:00,A,Low,Okay,Low,Bad,True,False
3459,2005-06-21 00:00:00,C,Low,Great,Low,Bad,True,False
4927,2005-06-11 00:00:00,A,Average,Intermediate,Average,Intermediate,True,True
4364,2005-06-03 00:00:00,C,Low,Okay,Low,Okay,True,True
4866,2005-06-21 00:00:00,D,Low,Bad,Low,Intermediate,True,False
652,2005-06-16 00:00:00,C,Low,Great,Average,Great,False,True
2068,2005-06-05 00:00:00,B,Low,Bad,Average,Bad,False,True
2362,2005-06-14 00:00:00,C,Average,Bad,Average,Intermediate,True,False
40,2005-06-11 00:00:00,A,Average,Intermediate,Low,Okay,False,False
447,2005-06-11 00:00:00,C,Average,Great,Average,Great,True,True
2639,2005-06-15 00:00:00,A,Average,Okay,Low,Okay,False,True
4464,2005-06-25 00:00:00,E,Average,Bad,Average,Intermediate,True,False
7245,2005-06-09 00:00:00,D,Average,Great,Low,Intermediate,False,False
1630,2005-06-03 00:00:00,D,Average,Great,Average,Okay,True,False
1050,2005-06-07 00:00:00,D,Average,Intermediate,Average,Bad,True,False
2909,2005-06-26 00:00:00,D,Average,Great,Average,Intermediate,True,False
2069,2005-06-11 00:00:00,C,Average,Great,Low,Okay,False,False
3231,2005-06-11 00:00:00,D,Average,Intermediate,Low,Great,False,False
7125,2005-06-08 00:00:00,A,Low,Great,Low,Bad,True,False
887,2005-06-13 00:00:00,A,Average,Intermediate,Low,Intermediate,False,True
953,2005-06-21 00:00:00,B,Average,Bad,Average,Bad,True,True
7667,2005-06-06 00:00:00,C,Average,Okay,Average,Okay,True,True
7604,2005-06-20 00:00:00,B,Average,Great,Average,Bad,True,False
5145,2005-06-01 00:00:00,C,Average,Intermediate,Low,Okay,False,False
1412,2005-06-12 00:00:00,A,Low,Great,Low,Okay,True,False
8932,2005-06-24 00:00:00,A,Low,Great,Low,Great,True,True
6979,2005-06-25 00:00:00,A,Average,Intermediate,Average,Bad,True,False
2480,2005-06-19 00:00:00,A,Average,Great,Low,Okay,False,False
657,2005-06-19 00:00:00,E,Low,Bad,Low,Great,True,False
2330,2005-06-09 00:00:00,C,Low,Great,Average,Intermediate,False,False
9556,2005-06-08 00:00:00,B,Low,Bad,Low,Intermediate,True,False
6703,2005-06-27 00:00:00,E,Average,Okay,Average,Great,True,False
3718,2005-06-13 00:00:00,E,Low,Great,Low,Okay,True,False
384,2005-06-09 00:00:00,B,Low,Okay,Low,Intermediate,True,False
9166,2005-06-23 00:00:00,A,Low,Intermediate,Low,Intermediate,True,True
6716,2005-06-01 00:00:00,E,Average,Great,Average,Okay,True,False
303,2005-06-08 00:00:00,C,Average,Intermediate,Low,Okay,False,False
7981,2005-06-15 00:00:00,E,Low,Okay,Average,Great,False,False
7402,2005-06-09 00:00:00,B,Low,Bad,Average,Bad,False,True
8797,2005-06-17 00:00:00,A,Average,Intermediate,Average,Okay,True,False
8617,2005-06-01 00:00:00,D,Low,Okay,Low,Intermediate,True,False
8578,2005-06-11 00:00:00,D,Low,Bad,Low,Great,True,False
1528,2005-06-06 00:00:00,C,Low,Great,Average,Bad,False,False
7388,2005-06-15 00:00:00,D,Low,Bad,Average,Intermediate,False,False
9854,2005-06-13 00:00:00,C,Low,Okay,Low,Intermediate,True,False
7177,2005-06-17 00:00:00,E,Average,Great,Low,Intermediate,False,False
2145,2005-06-29 00:00:00,E,Average,Bad,Average,Bad,True,True
8503,2005-06-23 00:00:00,D,Average,Okay,Low,Intermediate,False,False
2490,2005-06-21 00:00:00,D,Low,Bad,Average,Bad,False,True
5321,2005-06-25 00:00:00,B,Average,Intermediate,Average,Bad,True,False
5819,2005-06-12 00:00:00,B,Average,Bad,Low,Okay,False,False
5901,2005-06-24 00:00:00,B,Average,Bad,Average,Bad,True,True
5036,2005-06-10 00:00:00,A,Low,Bad,Average,Okay,False,False
6055,2005-06-01 00:00:00,A,Low,Okay,Low,Great,True,False
3448,2005-06-19 00:00:00,E,Average,Okay,Low,Bad,False,False
8850,2005-06-02 00:00:00,E,Average,Great,Low,Bad,False,False
2436,2005-06-06 00:00:00,C,Average,Bad,Average,Bad,True,True
6754,2005-06-05 00:00:00,E,Low,Great,Low,Intermediate,True,False
960,2005-06-22 00:00:00,A,Low,Okay,Average,Great,False,False
4654,2005-06-03 00:00:00,B,Low,Okay,Average,Bad,False,False
8706,2005-06-11 00:00:00,E,Average,Intermediate,Average,Okay,True,False
9044,2005-06-25 00:00:00,B,Low,Great,Low,Bad,True,False
1458,2005-06-04 00:00:00,D,Low,Great,Average,Okay,False,False
3721,2005-06-15 00:00:00,E,Low,Bad,Average,Bad,False,True
9278,2005-06-25 00:00:00,E,Average,Okay,Low,Intermediate,False,False
6888,2005-06-28 00:00:00,C,Average,Okay,Low,Great,False,False
3410,2005-06-16 00:00:00,B,Low,Okay,Low,Great,True,False
3274,2005-06-13 00:00:00,C,Average,Bad,Low,Intermediate,False,False
6155,2005-06-25 00:00:00,C,Average,Great,Low,Intermediate,False,False
5008,2005-06-16 00:00:00,A,Average,Great,Average,Great,True,True
2830,2005-06-28 00:00:00,A,Low,Intermediate,Low,Great,True,False
7869,2005-06-18 00:00:00,E,Average,Okay,Low,Intermediate,False,False
5844,2005-06-16 00:00:00,B,Low,Intermediate,Low,Intermediate,True,True
4376,2005-06-28 00:00:00,D,Average,Okay,Low,Bad,False,False
3699,2005-06-25 00:00:00,E,Low,Intermediate,Average,Okay,False,False
9000,2005-06-24 00:00:00,C,Average,Bad,Average,Great,True,False
7504,2005-06-20 00:00:00,A,Low,Intermediate,Low,Okay,True,False
5704,2005-06-06 00:00:00,C,Average,Okay,Average,Intermediate,True,False
5874,2005-06-15 00:00:00,B,Average,Bad,Low,Intermediate,False,False
732,2005-06-08 00:00:00,A,Average,Okay,Average,Great,True,False
6585,2005-06-16 00:00:00,D,Low,Bad,Low,Great,True,False
5725,2005-06-24 00:00:00,D,Low,Great,Low,Great,True,True
8020,2005-06-28 00:00:00,B,Average,Bad,Average,Okay,True,False
8400,2005-06-11 00:00:00,B,Low,Intermediate,Low,Bad,True,False
5476,2005-06-29 00:00:00,E,Low,Bad,Low,Intermediate,True,False
5733,2005-06-25 00:00:00,A,Average,Great,Average,Okay,True,False
7517,2005-06-12 00:00:00,A,Low,Great,Average,Okay,False,False
9475,2005-06-13 00:00:00,C,Average,Okay,Low,Okay,False,True
3301,2005-06-25 00:00:00,D,Low,Great,Low,Great,True,True
1316,2005-06-21 00:00:00,C,Average,Bad,Average,Okay,True,False
6891,2005-06-09 00:00:00,A,Low,Bad,Low,Bad,True,True
2737,2005-06-23 00:00:00,D,Average,Intermediate,Low,Okay,False,False
8824,2005-06-23 00:00:00,C,Average,Intermediate,Low,Okay,False,False
7540,2005-06-05 00:00:00,C,Low,Great,Average,Great,False,True
3876,2005-06-20 00:00:00,A,Low,Bad,Low,Great,True,False
1177,2005-06-15 00:00:00,D,Low,Bad,Average,Great,False,False
9236,2005-06-15 00:00:00,B,Average,Okay,Low,Bad,False,False
2479,2005-06-25 00:00:00,B,Average,Great,Low,Okay,False,False
2694,2005-06-24 00:00:00,A,Low,Okay,Low,Okay,True,True
6248,2005-06-15 00:00:00,A,Average,Okay,Low,Great,False,False
5159,2005-06-15 00:00:00,A,Average,Intermediate,Low,Okay,False,False
9213,2005-06-23 00:00:00,E,Low,Okay,Low,Okay,True,True
8437,2005-06-19 00:00:00,B,Low,Bad,Average,Great,False,False
3754,2005-06-15 00:00:00,E,Average,Intermediate,Average,Intermediate,True,True
4926,2005-06-22 00:00:00,C,Average,Great,Low,Great,False,True
543,2005-06-16 00:00:00,A,Average,Bad,Low,Intermediate,False,False
5014,2005-06-22 00:00:00,C,Average,Okay,Low,Bad,False,False
7201,2005-06-17 00:00:00,D,Average,Great,Low,Great,False,True
3186,2005-06-24 00:00:00,B,Low,Great,Average,Intermediate,False,False
8226,2005-06-20 00:00:00,D,Low,Intermediate,Low,Intermediate,True,True
4105,2005-06-13 00:00:00,E,Low,Great,Low,Bad,True,False
8637,2005-06-12 00:00:00,D,Average,Great,Low,Bad,False,False
7382,2005-06-01 00:00:00,C,Low,Bad,Average,Bad,False,True
8808,2005-06-24 00:00:00,D,Average,Intermediate,Average,Okay,True,False
4395,2005-06-18 00:00:00,E,Low,Great,Average,Great,False,True
6402,2005-06-17 00:00:00,B,Average,Okay,Average,Bad,True,False
2805,2005-06-11 00:00:00,D,Average,Intermediate,Average,Okay,True,False
7061,2005-06-02 00:00:00,C,Low,Great,Low,Bad,True,False
3509,2005-06-11 00:00:00,D,Average,Great,Average,Okay,True,False
2071,2005-06-07 00:00:00,A,Average,Okay,Low,Intermediate,False,False
654,2005-06-11 00:00:00,E,Low,Bad,Average,Great,False,False
8596,2005-06-23 00:00:00,B,Average,Intermediate,Low,Great,False,False
5379,2005-06-22 00:00:00,E,Low,Great,Average,Okay,False,False
1397,2005-06-07 00:00:00,A,Low,Intermediate,Low,Great,True,False
8562,2005-06-17 00:00:00,D,Average,Bad,Low,Okay,False,False
5122,2005-06-22 00:00:00,C,Average,Intermediate,Average,Great,True,False
4075,2005-06-25 00:00:00,D,Low,Great,Average,Okay,False,False
4405,2005-06-16 00:00:00,E,Average,Bad,Low,Bad,False,True
5878,2005-06-22 00:00:00,A,Average,Okay,Average,Intermediate,True,False
7499,2005-06-22 00:00:00,E,Average,Great,Low,Okay,False,False
3353,2005-06-03 00:00:00,D,Average,Okay,Average,Okay,True,True
6842,2005-06-05 00:00:00,A,Low,Intermediate,Low,Great,True,False
8990,2005-06-21 00:00:00,D,Average,Great,Average,Bad,True,False
9029,2005-06-27 00:00:00,D,Low,Okay,Average,Great,False,False
9895,2005-06-01 00:00:00,D,Low,Intermediate,Average,Great,False,False
2327,2005-06-14 00:00:00,A,Average,Great,Average,Bad,True,False
919,2005-06-11 00:00:00,B,Low,Intermediate,Low,Great,True,False
5871,2005-06-28 00:00:00,D,Low,Great,Low,Okay,True,False
836,2005-06-21 00:00:00,C,Average,Great,Low,Intermediate,False,False
4383,2005-06-23 00:00:00,A,Average,Okay,Low,Okay,False,True
4618,2005-06-15 00:00:00,A,Low,Bad,Average,Intermediate,False,False
2957,2005-06-05 00:00:00,A,Low,Bad,Average,Intermediate,False,False
5340,2005-06-18 00:00:00,D,Low,Intermediate,Average,Okay,False,False
1563,2005-06-01 00:00:00,D,Low,Intermediate,Low,Intermediate,True,True
72,2005-06-17 00:00:00,B,Average,Great,Average,Intermediate,True,False
6023,2005-06-20 00:00:00,E,Low,Great,Low,Great,True,True
7078,2005-06-17 00:00:00,D,Average,Intermediate,Average,Intermediate,True,True
51,2005-06-08 00:00:00,B,Low,Okay,Low,Great,True,False
1536,2005-06-25 00:00:00,C,Average,Great,Average,Okay,True,False
7951,2005-06-01 00:00:00,B,Low,Okay,Average,Okay,False,True
7613,2005-06-07 00:00:00,D,Average,Bad,Low,Great,False,False
3064,2005-06-12 00:00:00,D,Average,Great,Low,Intermediate,False,False
1813,2005-06-05 00:00:00,E,Average,Intermediate,Average,Okay,True,False
3968,2005-06-14 00:00:00,E,Low,Intermediate,Low,Okay,True,False
2939,2005-06-17 00:00:00,D,Average,Okay,Low,Great,False,False
1032,2005-06-14 00:00:00,A,Low,Okay,Low,Bad,True,False
9812,2005-06-04 00:00:00,E,Low,Bad,Low,Great,True,False
3825,2005-06-25 00:00:00,A,Average,Great,Average,Okay,True,False
906,2005-06-18 00:00:00,B,Low,Okay,Low,Okay,True,True
146,2005-06-13 00:00:00,C,Low,Great,Average,Great,False,True
9135,2005-06-19 00:00:00,A,Average,Bad,Low,Okay,False,False
1438,2005-06-18 00:00:00,E,Average,Okay,Average,Bad,True,False
8342,2005-06-06 00:00:00,E,Low,Okay,Low,Bad,True,False
3781,2005-06-09 00:00:00,B,Low,Great,Low,Great,True,True
8624,2005-06-24 00:00:00,C,Low,Great,Average,Bad,False,False
95,2005-06-19 00:00:00,E,Low,Intermediate,Low,Intermediate,True,True
9760,2005-06-14 00:00:00,D,Low,Bad,Low,Great,True,False
6728,2005-06-29 00:00:00,B,Average,Intermediate,Average,Okay,True,False
7754,2005-06-07 00:00:00,C,Low,Bad,Average,Great,False,False
5434,2005-06-08 00:00:00,B,Average,Bad,Average,Great,True,False
7213,2005-06-17 00:00:00,E,Low,Okay,Average,Great,False,False
7272,2005-06-15 00:00:00,D,Average,Great,Average,Great,True,True
6322,2005-06-07 00:00:00,D,Average,Great,Average,Bad,True,False
8997,2005-06-21 00:00:00,E,Low,Bad,Low,Great,True,False
9130,2005-06-13 00:00:00,E,Low,Intermediate,Average,Great,False,False
8362,2005-06-13 00:00:00,D,Average,Okay,Average,Great,True,False
8092,2005-06-14 00:00:00,A,Average,Great,Average,Okay,True,False
7406,2005-06-23 00:00:00,D,Low,Bad,Average,Intermediate,False,False
4698,2005-06-24 00:00:00,D,Average,Great,Average,Bad,True,False
9458,2005-06-21 00:00:00,C,Low,Intermediate,Low,Great,True,False
3751,2005-06-29 00:00:00,A,Low,Great,Low,Intermediate,True,False
275,2005-06-10 00:00:00,D,Average,Intermediate,Low,Okay,False,False
477,2005-06-05 00:00:00,E,Average,Bad,Low,Bad,False,True
2577,2005-06-09 00:00:00,C,Average,Okay,Low,Intermediate,False,False
9138,2005-06-02 00:00:00,A,Low,Bad,Average,Bad,False,True
1250,2005-06-03 00:00:00,E,Low,Intermediate,Average,Great,False,False
3016,2005-06-29 00:00:00,D,Low,Great,Low,Bad,True,False
1469,2005-06-12 00:00:00,D,Low,Okay,Low,Okay,True,True
706,2005-06-27 00:00:00,A,Average,Intermediate,Low,Okay,False,False
7289,2005-06-08 00:00:00,B,Low,Intermediate,Average,Great,False,False
2177,2005-06-11 00:00:00,A,Low,Okay,Average,Great,False,False
484,2005-06-01 00:00:00,D,Average,Intermediate,Low,Great,False,False
9960,2005-06-15 00:00:00,A,Low,Intermediate,Low,Okay,True,False
5166,2005-06-23 00:00:00,B,Low,Okay,Average,Great,False,False
5426,2005-06-19 00:00:00,D,Low,Bad,Low,Intermediate,True,False
5508,2005-06-07 00:00:00,A,Low,Bad,Low,Great,True,False
5204,2005-06-11 00:00:00,D,Average,Bad,Low,Bad,False,True
3326,2005-06-13 00:00:00,E,Low,Bad,Average,Intermediate,False,False
49,2005-06-18 00:00:00,D,Low,Bad,Average,Okay,False,False
6849,2005-06-14 00:00:00,B,Low,Okay,Average,Great,False,False
4082,2005-06-01 00:00:00,D,Low,Intermediate,Average,Okay,False,False
4183,2005-06-12 00:00:00,C,Average,Great,Average,Okay,True,False
6555,2005-06-25 00:00:00,D,Low,Great,Average,Bad,False,False
3651,2005-06-01 00:00:00,D,Average,Great,Average,Okay,True,False
8745,2005-06-06 00:00:00,A,Average,Intermediate,Low,Okay,False,False
3536,2005-06-11 00:00:00,C,Low,Intermediate,Low,Great,True,False
4215,2005-06-18 00:00:00,E,Average,Intermediate,Low,Bad,False,False
8124,2005-06-20 00:00:00,B,Average,Bad,Average,Intermediate,True,False
4076,2005-06-05 00:00:00,D,Average,Intermediate,Low,Bad,False,False
452,2005-06-07 00:00:00,A,Low,Intermediate,Low,Bad,True,False
5541,2005-06-01 00:00:00,E,Low,Okay,Average,Intermediate,False,False
469,2005-06-22 00:00:00,B,Average,Bad,Low,Intermediate,False,False
8760,2005-06-25 00:00:00,D,Low,Great,Low,Bad,True,False
6086,2005-06-03 00:00:00,D,Low,Bad,Low,Intermediate,True,False
8700,2005-06-14 00:00:00,E,Low,Great,Low,Intermediate,True,False
3062,2005-06-06 00:00:00,D,Average,Bad,Low,Okay,False,False
6651,2005-06-05 00:00:00,A,Low,Bad,Average,Bad,False,True
3319,2005-06-26 00:00:00,C,Average,Great,Low,Intermediate,False,False
5851,2005-06-27 00:00:00,B,Low,Great,Average,Intermediate,False,False
1918,2005-06-25 00:00:00,A,Low,Bad,Low,Bad,True,True
5538,2005-06-21 00:00:00,D,Low,Intermediate,Low,Bad,True,False
6696,2005-06-07 00:00:00,C,Average,Intermediate,Low,Intermediate,False,True
8191,2005-06-20 00:00:00,B,Low,Great,Low,Bad,True,False
3234,2005-06-20 00:00:00,D,Low,Intermediate,Low,Bad,True,False
7195,2005-06-29 00:00:00,A,Average,Great,Average,Intermediate,True,False
1531,2005-06-28 00:00:00,B,Average,Great,Low,Bad,False,False
5156,2005-06-12 00:00:00,A,Low,Okay,Low,Great,True,False
26,2005-06-14 00:00:00,D,Low,Great,Low,Okay,True,False
2976,2005-06-03 00:00:00,B,Low,Bad,Low,Okay,True,False
8060,2005-06-10 00:00:00,D,Average,Okay,Average,Bad,True,False
8618,2005-06-01 00:00:00,B,Average,Okay,Average,Great,True,False
5119,2005-06-23 00:00:00,A,Low,Okay,Low,Bad,True,False
